agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7500.0,,-7500.0,0,7500.0,0.0,0.0
H1,,,,1250.0,773,,,,7663,-5640.0,2023.0,7663,0.0,0.0
H2,,,,1250.0,7163,,,,4063,4350.0,8413.0,4063,0.0,0.0
H3,,,,1250.0,3563,,,,804,4009.0,4813.0,804,0.0,0.0
H4,,,,1250.0,304,,,,1194,360.0,1554.0,1194,0.0,0.0
H5,,,,1250.0,694,,,,1273,671.0,1944.0,1273,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,7500.0,14997,,,7500.0,14997,0,22497.0,22497.0,0.0,0.0
SYSTEM,system,System Total,22497.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22497.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
