agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,4059.0,-4059.0,0,4059.0,0.0,0.0
H1,,,,3.0,,,,3.0,3.0,0,0.0,0.0
H2,,,,22,,,,22,22,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,61.0,,,,61.0,61.0,0,0.0,0.0
H5,,,,14.0,,,,14.0,14.0,0,0.0,0.0
H6,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H7,,,,40.0,,,,40.0,40.0,0,0.0,0.0
H8,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H9,,,,26.0,,,,26.0,26.0,0,0.0,0.0
H10,,,,,,,,0,0,0,0.0,0.0
H11,,,,59.0,,,,59.0,59.0,0,0.0,0.0
H12,,,,99.0,,,,99.0,99.0,0,0.0,0.0
H13,,,,46.0,,,,46.0,46.0,0,0.0,0.0
H14,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H15,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H16,,,,15.0,,,,15.0,15.0,0,0.0,0.0
H17,,,,35.0,,,,35.0,35.0,0,0.0,0.0
H18,,,,26.0,,,,26.0,26.0,0,0.0,0.0
H19,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H20,,,,28.0,,,,28.0,28.0,0,0.0,0.0
H21,,,,16.0,,,,16.0,16.0,0,0.0,0.0
H22,,,,34.0,,,,34.0,34.0,0,0.0,0.0
H23,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,95.0,,,,95.0,95.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H28,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H29,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H30,,,,26.0,,,,26.0,26.0,0,0.0,0.0
H31,,,,,,,,0,0,0,0.0,0.0
H32,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H33,,,,,,,,0,0,0,0.0,0.0
H34,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H35,,,,6.0,,,,6.0,6.0,0,0.0,0.0
H36,,,,52.0,,,,52.0,52.0,0,0.0,0.0
H37,,,,23.0,,,,23.0,23.0,0,0.0,0.0
H38,,,,27.0,,,,27.0,27.0,0,0.0,0.0
H39,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H40,,,,,,,,0,0,0,0.0,0.0
H41,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H42,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,53.0,,,,53.0,53.0,0,0.0,0.0
H45,,,,19.0,,,,19.0,19.0,0,0.0,0.0
H46,,,,,,,,0,0,0,0.0,0.0
H47,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H48,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H49,,,,,,,,0,0,0,0.0,0.0
H50,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H51,,,,,,,,0,0,0,0.0,0.0
