agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,2500.0,-2500.0,0,2500.0,0.0,0.0
H1,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H2,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H5,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H8,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H11,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H12,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H15,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H16,,,,,,,,0,0,0,0.0,0.0
H17,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H18,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H19,,,,15.0,,,,15.0,15.0,0,0.0,0.0
H20,,,,35,,,,35,35,0,0.0,0.0
H21,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H22,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H25,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H28,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H29,,,,13.0,,,,13.0,13.0,0,0.0,0.0
H30,,,,37,,,,37,37,0,0.0,0.0
H31,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H32,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H33,,,,,,,,0,0,0,0.0,0.0
H34,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H35,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H38,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H39,,,,,,,,0,0,0,0.0,0.0
H40,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H41,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H42,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H45,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H46,,,,,,,,0,0,0,0.0,0.0
H47,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H48,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H49,,,,,,,,0,0,0,0.0,0.0
H50,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H51,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H52,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H53,,,,10.0,,,,10.0,10.0,0,0.0,0.0
H54,,,,40,,,,40,40,0,0.0,0.0
H55,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H56,,,,,,,,0,0,0,0.0,0.0
H57,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H58,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H59,,,,,,,,0,0,0,0.0,0.0
H60,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H61,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H62,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H63,,,,,,,,0,0,0,0.0,0.0
H64,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H65,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H66,,,,,,,,0,0,0,0.0,0.0
H67,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H68,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H69,,,,,,,,0,0,0,0.0,0.0
H70,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H71,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H72,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H73,,,,,,,,0,0,0,0.0,0.0
H74,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H75,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H76,,,,,,,,0,0,0,0.0,0.0
H77,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H78,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H79,,,,,,,,0,0,0,0.0,0.0
H80,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H81,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H82,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H83,,,,,,,,0,0,0,0.0,0.0
H84,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H85,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H86,,,,,,,,0,0,0,0.0,0.0
H87,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H88,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H89,,,,,,,,0,0,0,0.0,0.0
H90,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H91,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H92,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H93,,,,8.0,,,,8.0,8.0,0,0.0,0.0
H94,,,,42,,,,42,42,0,0.0,0.0
H95,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H96,,,,,,,,0,0,0,0.0,0.0
H97,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H98,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H99,,,,,,,,0,0,0,0.0,0.0
H100,,,,50.0,,,,50.0,50.0,0,0.0,0.0
SYSTEM,,,,2500.0,,,2500.0,0,2500.0,2500.0,0.0,0.0
SYSTEM,system,System Total,2500.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,2500.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
