agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27000.0,,-27000.0,0,27000.0,0.0,0.0
H1,,,,5323.0,,,,,7667,-2344.0,5323.0,7667,0.0,0.0
H2,,,,4056.0,7167,,,,,11223.0,11223.0,0,0.0,0.0
H3,,,,931.0,,,,,,931.0,931.0,0,0.0,0.0
H4,,,,7962.0,,,,,,7962.0,7962.0,0,0.0,0.0
H5,,,,4728.0,,,,,,4728.0,4728.0,0,0.0,0.0
big_short,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1666.6666666666665,,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,1166.6666666666665,,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,27000.0,7667,,,27000.0,7667,0,34667.0,34667.0,0.0,0.0
SYSTEM,system,System Total,34667.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,34667.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
