agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,27000.0,-27000.0,0,27000.0,0.0,0.0
H1,,,,5963.0,,,,5963.0,5963.0,0,0.0,0.0
H2,,,,2799.0,,,,2799.0,2799.0,0,0.0,0.0
H3,,,,2521.0,,,,2521.0,2521.0,0,0.0,0.0
H4,,,,6716.0,,,,6716.0,6716.0,0,0.0,0.0
H5,,,,4501.0,,,,4501.0,4501.0,0,0.0,0.0
big_short,,,,1666.6666666666665,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1666.6666666666665,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,1166.6666666666665,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,27000.0,,,27000.0,0,27000.0,27000.0,0.0,0.0
SYSTEM,system,System Total,27000.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,27000.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
