G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.19551364099943208,16084,1483,243,1483,0,1,0.8361429534726905,243,13,10,,0.1638570465273095,1
0,0.1541339143672418,16084,1393,0,1393,0,2,1,0,13,10,,0,
0,0.17678468968609526,16084,2052,0,2052,0,3,1,0,13,10,,0,
0,0.14083412620160554,16084,1522,0,1522,0,4,1,0,13,10,,0,
0,0.15031919845276023,16084,1412,0,1412,0,5,1,0,13,10,,0,
0,0.11219204423550991,16084,1546,0,1546,0,6,1,0,13,10,,0,
0,0.1348368078843057,16084,998,0,998,0,7,1,0,13,10,,0,
0,0.12108289177455069,16084,1858,0,1858,0,8,1,0,13,10,,0,
0,0.10684473381535846,16084,1423,0,1423,0,9,1,0,13,10,,0,
0,0.11046782366607916,16084,1264,0,1264,0,10,1,0,13,10,,0,
