G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.22005509641873278,10000,660,53,660,0,1,0.9196969696969697,53,8,8,,0.0803030303030303,1
0,0.36052382094148006,10000,2252,91,2252,0,2,0.9595914742451155,91,8,8,,0.040408525754884544,1
0,0.2882784170753039,10000,638,174,638,0,3,0.7272727272727273,174,10,10,,0.2727272727272727,1
0,0.1526560695175677,10000,629,279,629,0,4,0.5564387917329093,279,9,9,,0.4435612082670906,1
0,0.25641337714849827,10000,471,155,471,0,5,0.6709129511677282,155,8,8,,0.32908704883227174,1
0,0.605951987276392,10000,1008,232,1008,0,6,0.7698412698412699,232,9,9,,0.23015873015873015,1
0,0.2486430988850718,10000,1534,177,1534,0,7,0.8846153846153846,177,9,9,,0.11538461538461539,1
0,0.18520420562247522,10000,1401,236,1401,0,8,0.8315488936473947,236,10,10,,0.1684511063526053,1
0,0.20304854830351493,10000,591,269,591,0,9,0.544839255499154,269,9,9,,0.45516074450084604,1
0,0.2238180890762168,10000,772,323,772,0,10,0.5816062176165803,323,9,9,,0.4183937823834197,1
