agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,52250.0,-52250.0,0,52250.0,0.0,0.0
H1,,,,5576.0,,,,5576.0,5576.0,0,0.0,0.0
H2,,,,14673.0,,,,14673.0,14673.0,0,0.0,0.0
H3,,,,5750.0,,,,5750.0,5750.0,0,0.0,0.0
H4,,,,13646.0,,,,13646.0,13646.0,0,0.0,0.0
H5,,,,7855.0,,,,7855.0,7855.0,0,0.0,0.0
big_short,,,,1750.0,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,1750.0,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,1250.0,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,52250.0,,,52250.0,0,52250.0,52250.0,0.0,0.0
SYSTEM,system,System Total,52250.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,52250.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
