G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.33722893214093624,16235,1579,0,1579,0,1,1,0,9,10,,0,
0,0.19432720433116785,16235,839,0,839,0,2,1,0,11,10,,0,
0,0.1863157466426441,16235,2056,0,2056,0,3,1,0,13,10,,0,
0,0.2648919220923494,16235,1413,0,1413,0,4,1,0,9,10,,0,
0,0.4632656045951483,16235,1758,0,1758,0,5,1,0,10,10,,0,
0,0.1998857618849289,16235,1715,0,1715,0,6,1,0,11,10,,0,
0,0.27624426702904703,16235,812,0,812,0,7,1,0,8,10,,0,
0,0.26317324145763155,16235,2166,0,2166,0,8,1,0,10,10,,0,
0,0.15819547169057108,16235,949,0,949,0,9,1,0,11,10,,0,
0,0.6747965670110976,16235,1669,0,1669,0,10,1,0,10,10,,0,
