G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.17330306778358726,9955,924,0,924,0,1,1,0,12,10,,0,
0,0.1897724771041536,9955,2186,0,2186,0,2,1,0,12,10,,0,
0,0.2236566503878196,9955,1475,0,1475,0,3,1,0,12,10,,0,
0,0.16268730489073882,9955,1240,0,1240,0,4,1,0,13,10,,0,
0,0.13549931972789114,9955,525,0,525,0,5,1,0,12,10,,0,
0,0.12380886426592798,9955,1140,0,1140,0,6,1,0,12,10,,0,
0,0.24736671244047553,9955,1933,0,1933,0,7,1,0,13,10,,0,
0,0.1397308645346806,9955,1996,0,1996,0,8,1,0,13,10,,0,
0,0.15170555071573807,9955,2146,0,2146,0,9,1,0,12,10,,0,
0,0.17534737743564166,9955,1383,0,1383,0,10,1,0,12,10,,0,
