agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,52000.0,-52000.0,0,52000.0,0.0,0.0
H1,,,,7216.0,,,,7216.0,7216.0,0,0.0,0.0
H2,,,,8977.0,,,,8977.0,8977.0,0,0.0,0.0
H3,,,,11367.0,,,,11367.0,11367.0,0,0.0,0.0
H4,,,,9683.0,,,,9683.0,9683.0,0,0.0,0.0
H5,,,,10257.0,,,,10257.0,10257.0,0,0.0,0.0
big_short,,,,1666.6666666666665,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1666.6666666666665,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,1166.6666666666665,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,52000.0,,,52000.0,0,52000.0,52000.0,0.0,0.0
SYSTEM,system,System Total,52000.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,52000.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
