agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,5000.0,-5000.0,0,5000.0,0.0,0.0
H1,,,,,,,,0,0,0,0.0,0.0
H2,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H3,,,,87.0,,,,87.0,87.0,0,0.0,0.0
H4,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H5,,,,31,,,,31,31,0,0.0,0.0
H6,,,,,,,,0,0,0,0.0,0.0
H7,,,,136.0,,,,136.0,136.0,0,0.0,0.0
H8,,,,,,,,0,0,0,0.0,0.0
H9,,,,,,,,0,0,0,0.0,0.0
H10,,,,114.0,,,,114.0,114.0,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,,,,,0,0,0,0.0,0.0
H15,,,,164.0,,,,164.0,164.0,0,0.0,0.0
H16,,,,,,,,0,0,0,0.0,0.0
H17,,,,86.0,,,,86.0,86.0,0,0.0,0.0
H18,,,,,,,,0,0,0,0.0,0.0
H19,,,,132.0,,,,132.0,132.0,0,0.0,0.0
H20,,,,18,,,,18,18,0,0.0,0.0
H21,,,,72.0,,,,72.0,72.0,0,0.0,0.0
H22,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,107.0,,,,107.0,107.0,0,0.0,0.0
H28,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H31,,,,26.0,,,,26.0,26.0,0,0.0,0.0
H32,,,,117.0,,,,117.0,117.0,0,0.0,0.0
H33,,,,38.0,,,,38.0,38.0,0,0.0,0.0
H34,,,,68.0,,,,68.0,68.0,0,0.0,0.0
H35,,,,1,,,,1,1,0,0.0,0.0
H36,,,,,,,,0,0,0,0.0,0.0
H37,,,,100.0,,,,100.0,100.0,0,0.0,0.0
H38,,,,,,,,0,0,0,0.0,0.0
H39,,,,132.0,,,,132.0,132.0,0,0.0,0.0
H40,,,,18,,,,18,18,0,0.0,0.0
H41,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H42,,,,71,,,,71,71,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,86.0,,,,86.0,86.0,0,0.0,0.0
H45,,,,64,,,,64,64,0,0.0,0.0
H46,,,,10.0,,,,10.0,10.0,0,0.0,0.0
H47,,,,90,,,,90,90,0,0.0,0.0
H48,,,,43.0,,,,43.0,43.0,0,0.0,0.0
H49,,,,79.0,,,,79.0,79.0,0,0.0,0.0
H50,,,,34.0,,,,34.0,34.0,0,0.0,0.0
H51,,,,79.0,,,,79.0,79.0,0,0.0,0.0
H52,,,,15,,,,15,15,0,0.0,0.0
H53,,,,89.0,,,,89.0,89.0,0,0.0,0.0
H54,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H55,,,,17,,,,17,17,0,0.0,0.0
H56,,,,80.0,,,,80.0,80.0,0,0.0,0.0
H57,,,,67.0,,,,67.0,67.0,0,0.0,0.0
H58,,,,,,,,0,0,0,0.0,0.0
H59,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H60,,,,59,,,,59,59,0,0.0,0.0
H61,,,,,,,,0,0,0,0.0,0.0
H62,,,,107.0,,,,107.0,107.0,0,0.0,0.0
H63,,,,,,,,0,0,0,0.0,0.0
