agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14500.0,,-14500.0,0,14500.0,0.0,0.0
H1,,,,2500.0,1316,,,,1326,2490.0,3816.0,1326,0.0,0.0
H2,,,,2500.0,826,,,,9528,-6202.0,3326.0,9528,0.0,0.0
H3,,,,2500.0,9028,,,,1693,9835.0,11528.0,1693,0.0,0.0
H4,,,,2500.0,1193,,,,634,3059.0,3693.0,634,0.0,0.0
H5,,,,2500.0,134,,,,1816,818.0,2634.0,1816,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,14500.0,14997,,,14500.0,14997,0,29497.0,29497.0,0.0,0.0
SYSTEM,system,System Total,29497.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29497.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
