G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.17303816933602026,20069,709,709,709,0,1,0,709,10,10,,1,1
0,0.43879708669433787,20069,452,170,452,0,2,0.6238938053097345,170,7,7,,0.37610619469026546,1
0,0.20609661101356463,20069,2743,211,2743,0,3,0.9230769230769231,211,7,7,,0.07692307692307693,1
0,0.36401416235167733,20069,1531,386,1531,0,4,0.7478772044415415,386,6,6,,0.2521227955584585,1
0,0.28345182985413575,20069,535,299,535,0,5,0.4411214953271028,299,7,7,,0.5588785046728972,1
0,0.3937176198380363,20069,282,282,282,0,6,0,282,6,6,,1,1
0,0.3283309949621421,20069,822,426,822,0,7,0.48175182481751827,426,8,8,,0.5182481751824818,1
0,0.6134228020970018,20069,1604,376,1604,0,8,0.7655860349127181,376,7,7,,0.2344139650872818,1
0,0.7116366395329399,20069,966,166,966,0,9,0.8281573498964804,166,5,5,,0.17184265010351968,1
0,0.2879786951779169,20069,319,317,319,0,10,0,319,6,6,,1,1.0063091482649842
