agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,51250.0,-51250.0,0,51250.0,0.0,0.0
H1,,,,9573.0,,,,9573.0,9573.0,0,0.0,0.0
H2,,,,11838.0,,,,11838.0,11838.0,0,0.0,0.0
H3,,,,10837.0,,,,10837.0,10837.0,0,0.0,0.0
H4,,,,5763.0,,,,5763.0,5763.0,0,0.0,0.0
H5,,,,9489.0,,,,9489.0,9489.0,0,0.0,0.0
big_short,,,,1416.6666666666667,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,1416.6666666666667,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,916.6666666666667,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,51250.0,,,51250.0,0,51250.0,51250.0,0.0,0.0
SYSTEM,system,System Total,51250.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,51250.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
