G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.16612414015856913,40000,771,771,771,0,1,0,771,9,9,,1,1
0,0.3347815820543093,40000,385,385,385,0,2,0,385,6,6,,1,1
0,0.22443294550880144,40000,1004,1004,1004,0,3,0,1004,8,8,,1,1
0,0.2906933361625408,40000,1193,626,1193,0,4,0.4752724224643755,626,9,9,,0.5247275775356245,1
0,0.42824751661264393,40000,874,325,874,0,5,0.6281464530892449,325,9,9,,0.3718535469107552,1
0,0.38276505911052733,40000,1460,615,1460,0,6,0.5787671232876712,615,9,9,,0.4212328767123288,1
0,0.321335251558558,40000,1095,237,1095,0,7,0.7835616438356164,237,7,7,,0.21643835616438356,1
0,0.30343288340950153,40000,873,465,873,0,8,0.46735395189003437,465,8,8,,0.5326460481099656,1
0,0.19797859690844233,40000,1334,1334,1334,0,9,0,1334,8,8,,1,1
0,0.42166570856799546,40000,962,367,962,0,10,0.6185031185031185,367,9,9,,0.3814968814968815,1
